Build Qty:,3,,,,
,,,,,
Reference,Qty,Value,MfgNo,CatNo,OrderQty
C1,1,4.7uF,CL10A475KO8NNNC,1276-1784-1-ND,3
"C2,C3,C6,C48,C50,C52,C53",7,1.0uF,CL10B105KO8NNNC,1276-1019-1-ND,21
"C4,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C40,C41,C42,C43,C44,C45,C46,C47,C54,C55",27,0.1uF,CC0603KRX7R7BB104,311-1088-1-ND,81
"C5,C13",2,10nF,06035C103MAZ2A,478-KGF15AR71H103MTCT-ND,6
C7,1,22nF,0603B223K160CT,1292-1415-1-ND,3
C8,1,56pF,600S560JT250XT4K,478-600S560JT250XT4KCT-ND,3
C9,1,4.7uF 100V,GRM31CC72A475KE11L,490-18620-1-ND,3
C10,1,0.1uF 100V,CL10B104KC8NNNC,1276-6807-1-ND,3
"C11,C12,C14",3,1.0uF 100V,GRM188D72A105ME01W,490-GRM188D72A105ME01WCT-ND,9
"C32,C33,C34,C35,C36,C37,C38,C39",8,1nF,CL03B102KOSVPNC,1276-CL03B102KOSVPNCCT-ND,24
"C49,C51",2,2.2uF,TMK107ABJ225KA-T,587-2909-1-ND,6
D1,1,MBR1H100SFT3G,MBR1H100SFT3G,MBR1H100SFT3GOSCT-ND,3
"D2,D3",2,LED,B19Y1USD-20C000113U1930,3147-B19Y1USD-20C000113U1930CT-ND,6
J1,1,Conn_02x18_Odd_Even,SFMC-118-02-S-D,SFMC-118-02-S-D-ND,3
J2,1,Conn_02x17_Odd_Even,SHF-117-01-L-D-SM,SAM9921-ND,3
J3,1,ISP,BC065-06-A-L-D,2073-BC065-06-A-L-D-ND,3
L1,1,10uH,744025100,732-2617-1-ND,3
L2,1,10uH,MLZ1608N100LT000,445-6755-1-ND,3
"Q1,Q2,Q3",3,BSS138,BSS138,BSS138CT-ND,9
"R1,R37,R38,R39,R40,R41,R42,R43,R44",9,1k,RMCF0603FT1K00,RMCF0603FT1K00CT-ND,27
R2,1,210k,RC0603FR-07210KL,311-210KHRCT-ND,3
R3,1,140k,RC0603FR-07140KL,311-140KHRCT-ND,3
R4,1,100k,RC0603FR-07100KL,311-100KHRCT-ND,3
"R5,R6,R16,R46",4,10.0k,"CRCW0603100KFKEA,RC0603FR-0710KL",311-10.0KHRCT-ND,12
R7,1,100k,CRCW0603100KFKEA,541-100KHCT-ND,3
"R8,R10",2,100,ERJ-3EKF1000V,P100HCT-ND,6
R9,1,3.00 1%,MFCR1206F3R00QHR,4506-MFCR1206F3R00QHRCT-ND,3
R11,1,4.7k,RT0603BRD074K7L,YAG1676CT-ND,3
R12,1,3.16k,CRCW06033K16FKEAC,541-5389-1-ND,3
R13,1,150k,ERJ-3EKF1503V,P150KHCT-ND,3
R14,1,2.49k,CRCW06032K49FKEAC,541-4044-1-ND,3
"R15,R47",2,1.5k,RT0603BRD071K5L,YAG1570CT-ND,6
R17,1,2.50M 1%,RMCF0603FT2M49,RMCF0603FT2M49CT-ND,3
R18,1,510k 1%,RMCF0603FT510K,RMCF0603FT510KCT-ND,3
R19,1,24.0k 1%,RMCF0603FT24K0,RMCF0603FT24K0CT-ND,3
R20,1,50.0k 1%,RT0603BRD0750KL,13-RT0603BRD0750KLCT-ND,3
"R21,R22,R23,R24,R25,R26,R27,R28",8,15k,CRG0603F15K,A121558CT-ND,24
"R29,R30,R31,R32,R33,R34,R35,R36",8,15,RC0603FR-0715RL,311-15.0HRCT-ND,24
R45,1,4.7k,ERJ-3EKF4701V,P4.70KHCT-ND,3
U1,1,ATmega328-M,ATMEGA328P-MU,ATMEGA328P-MU-ND,3
U2,1,INA201,INA201AIDR,296-INA201AIDRCT-ND,3
U3,1,LM51581,LM51581RTER,296-LM51581RTERCT-ND,3
U4,1,LT3014xS5,LT3014ES5#TRPBF,LT3014ES5#TRPBFCT-ND,3
U5,1,AD5270,AD5270BRMZ-50,505-AD5270BRMZ-50-ND,3
"U6,U7,U8,U9,U10,U11,U12,U13",8,OPA810xDCK,OPA810IDCKR,296-OPA810IDCKRCT-ND,24
"U14,U16",2,TPS7A25,TPS7A2533DRVR,296-TPS7A2533DRVRCT-ND,6
